Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
debilidad del consumo	2	14.31	debilidad del consumo	Nom Préposition Nom
sector privado residente	2	14.31	sector privado residente	Nom Adjectif Adjectif
inversionista individual	2	14.31	inversionista individual	Nom Adjectif
coste de ajuste	2	14.31	costes de ajuste	Nom Préposition Nom
equipo viejo	2	14.31	equipo viejo	Nom Adjectif
trabajador del sector informal	2	14.31	trabajadores del sector informal	Nom Préposition Nom Adjectif
rendimiento negativo	2	14.31	rendimiento negativo	Nom Adjectif
semicríticos	2	14.31	semicríticos	Adjectif
phelps &lsqb	2	14.31	phelps &lsqb	Nom Nom
razón intrínseco	2	14.31	razón intrínseca___razones intrínsecas	Nom Adjectif
aún	2	14.31	aún	Nom
capital en relación	2	14.31	capital en relación	Nom Préposition Nom
argumento de autoridad	2	14.31	argumento de autoridad___argumentos de autoridad	Nom Préposition Nom
sistema de ecuación	2	14.31	sistema de ecuaciones	Nom Préposition Nom
tradición clásico	2	14.31	tradición clásica	Nom Adjectif
convergencia condicional	2	14.31	convergencia condicional	Nom Adjectif
espíritu de época	2	14.31	espíritu de época	Nom Préposition Nom
teoría clásico moderno	2	14.31	teoría clásica moderna	Nom Adjectif Adjectif
instrumento analíticos	2	14.31	instrumentos analíticos	Nom Adjectif
número de inputs	2	14.31	número de inputs	Nom Préposition Nom
etapa del auge	2	14.31	etapas del auge	Nom Préposition Nom
tipo lombardo	2	14.31	tipo lombardo	Nom Adjectif
excedente del ingreso	2	14.31	excedente del ingreso	Nom Préposition Nom
valor numérico	2	14.31	valores numéricos	Nom Adjectif
inversión negativo	2	14.31	inversión negativa	Nom Adjectif
whigs	2	14.31	whigs	Nom
euro	2	14.31	euro	Adjectif
insesgado	2	14.31	insesgado	Adjectif
fórmula explícito	2	14.31	fórmulas explícitas	Nom Adjectif
nivel de instrucción	2	14.31	nivel de instrucción	Nom Préposition Nom
asesoramiento en inversión	2	14.31	asesoramiento en inversiones	Nom Préposition Nom
interbancario	2	14.31	interbancario	Nom
circunstancia concebibles	2	14.31	circunstancias concebibles	Nom Adjectif
conservarnos	2	14.31	conservarnos	Verbe
psicología de masa	2	14.31	psicología de masa	Nom Préposition Nom
prusia	2	14.31	prusia	Nom
deuda|deudo bruto	2	14.31	deuda bruta	Nom Adjectif
trabajador del estado	2	14.31	trabajador del estado	Nom Préposition Nom
tasa de interés descendente	2	14.31	tasa de interés descendente	Nom Préposition Nom Adjectif
costo de salario	2	14.31	costos de salarios	Nom Préposition Nom
nuestros fin	2	14.31	nuestros fines	Nom Nom
consumo alimenticio	2	14.31	consumo alimenticio	Nom Adjectif
opción de vencimiento mensual	2	14.31	opción de vencimiento mensual___opciones de vencimiento mensual	Nom Préposition Nom Adjectif
nivel agregado	2	14.31	nivel agregado	Nom Nom
tasa óptimo	2	14.31	tasa óptima	Nom Adjectif
parte de nuestras	2	14.31	parte de nuestras	Nom Préposition Nom
monopolio perpetuo	2	14.31	monopolio perpetuo	Nom Adjectif
tipo normativo	2	14.31	tipo normativo	Nom Adjectif
vendedor único	2	14.31	vendedor único___vendedores únicos	Nom Adjectif
escala de inversión	2	14.31	escala de inversión___escalas de inversión	Nom Préposition Nom
doctor escolásticos	2	14.31	doctores escolásticos	Nom Adjectif
sobreinversión en sentido estricto	2	14.31	sobreinversión en sentido estricto	Nom Préposition Nom Adjectif
condición de rendimiento	2	14.31	condiciones de rendimiento___condiciones de rendimientos	Nom Préposition Nom
presupuestos general	2	14.31	presupuestos generales	Nom Nom
tipo de interés vigente	2	14.31	tipos de interés vigentes	Nom Préposition Nom Adjectif
valoración convencional	2	14.31	valoración convencional	Nom Adjectif
income	2	14.31	income	Verbe
valor industrial	2	14.31	valores industriales	Nom Adjectif
ingreso laboral	2	14.31	ingreso laboral___ingresos laborales	Nom Adjectif
recurso especializado	2	14.31	recursos especializados	Nom Adjectif
remuneración monetario	2	14.31	remuneraciones monetarias	Nom Adjectif
boe	2	14.31	boe	Nom
unidad por marco	2	14.31	unidades por marco	Nom Préposition Nom
sociedad feudal	2	14.31	sociedad feudal	Nom Adjectif
déficit del estado	2	14.31	déficit del estado	Nom Préposition Nom
vencimiento de abril	2	14.31	vencimiento de abril___vencimientos de abril	Nom Préposition Nom
mes del año anterior	2	14.31	mes del año anterior	Nom Préposition Nom Adjectif
noventa	2	14.31	noventa	Adjectif
denotaremos	2	14.31	denotaremos	Verbe
sozialpolitik	2	14.31	sozialpolitik	Nom
ocupación correspondiente	2	14.31	ocupación correspondiente	Nom Adjectif
progreso técnico potenciador	2	14.31	progreso técnico potenciador	Nom Adjectif Adjectif
neutralidad de hicks	2	14.31	neutralidad de hicks	Nom Préposition Nom
perspectiva bajistas	2	14.31	perspectivas bajistas	Nom Adjectif
entregables correspondiente	2	14.31	entregables correspondiente	Nom Adjectif
vencimiento de julio	2	14.31	vencimiento de julio___vencimientos de julio	Nom Préposition Nom
volumen existente	2	14.31	volumen existente	Nom Adjectif
clase de capital	2	14.31	clases de capital	Nom Préposition Nom
acumulable	2	14.31	acumulable	Adjectif
liquidación de fra	2	14.31	liquidación de fra	Nom Préposition Nom
restricción de recurso	2	14.31	restricción de recursos	Nom Préposition Nom
plantación privado	2	14.31	plantaciones privadas	Nom Adjectif
circunstancia de volatilidad	2	14.31	circunstancias de volatilidad	Nom Préposition Nom
futuro rendimiento	2	14.31	futuro rendimiento	Nom Nom
índice de integración	2	14.31	índice de integración	Nom Préposition Nom
función de producción neoclásico	2	14.31	función de producción neoclásica	Nom Préposition Nom Adjectif
pensamiento católico	2	14.31	pensamiento católico	Nom Adjectif
negociación pequeño mensual	2	14.31	negociación mínima mensual	Nom Adjectif Adjectif
luz determinado	2	14.31	luz determinada	Nom Adjectif
número de cupón	2	14.31	número de cupones	Nom Préposition Nom
ciencia físico	2	14.31	ciencia física___ciencias físicas	Nom Adjectif
víctima del autoengaño ideológico	2	14.31	víctima del autoengaño ideológico___víctimas del autoengaño ideológico	Nom Préposition Nom Adjectif
nuestro supuesto	2	14.31	nuestro supuesto	Nom Adjectif
nuestros día	2	14.31	nuestros días	Nom Nom
entrega de acuerdo	2	14.31	entrega de acuerdo	Nom Préposition Nom
exportación de manufactura	2	14.31	exportación de manufacturas___exportaciones de manufacturas	Nom Préposition Nom
teoría del equilibrio móvil	2	14.31	teoría del equilibrio móvil	Nom Préposition Nom Adjectif
consumo de capital	2	14.31	consumo de capital	Nom Préposition Nom
atraían	2	14.31	atraían	Verbe
existencia de bien	2	14.31	existencias de bienes	Nom Préposition Nom
valor en peseta	2	14.31	valor en pesetas	Nom Préposition Nom
igualdad de probabilidad	2	14.31	igualdad de probabilidades	Nom Préposition Nom
suma absoluto	2	14.31	suma absoluta	Nom Adjectif
acumulación de hecho	2	14.31	acumulación de hechos	Nom Préposition Nom
felicidad instantáneo	2	14.31	felicidad instantánea	Nom Adjectif
sindicato obrero	2	14.31	sindicatos obreros	Nom Nom
charles	2	14.31	charles	Verbe
nuestra situación	2	14.31	nuestra situación	Nom Nom
definición especial	2	14.31	definición especial___definiciones especiales	Nom Adjectif
stock de capital medio	2	14.31	stock de capital medio	Nom Préposition Nom Adjectif
evolución capitalista	2	14.31	evolución capitalista	Nom Adjectif
cotización del futuro	2	14.31	cotización del futuro	Nom Préposition Nom
factor originario	2	14.31	factores originarios	Nom Adjectif
costo nominal	2	14.31	costo nominal	Nom Adjectif
relación de valor entregables	2	14.31	relación de valores entregables	Nom Préposition Nom Adjectif
producción de oro	2	14.31	producción de oro	Nom Préposition Nom
mercado de dinero	2	14.31	mercado de dinero	Nom Préposition Nom
cálculo de factor	2	14.31	cálculo de factores	Nom Préposition Nom
evolución temporal	2	14.31	evolución temporal	Nom Adjectif
industria de artículo	2	14.31	industrias de artículos	Nom Préposition Nom
nuestras expectativas	2	14.31	nuestras expectativas	Nom Adjectif
manual del servicio telefónico	2	14.31	manual del servicio telefónico	Nom Préposition Nom Adjectif
cournot	2	14.31	cournot	Nom
tipo de interés implícito	2	14.31	tipo de interés implícito	Nom Préposition Nom Adjectif
método numérico	2	14.31	método numérico___métodos numéricos	Nom Adjectif
institutional investor	2	14.31	institutional investor	Nom Nom
ingreso neto disponible	2	14.31	ingreso neto disponible	Nom Adjectif Adjectif
nuestro problema	2	14.31	nuestro problema	Nom Nom
producción privado	2	14.31	producción privados	Nom Adjectif
simple	2	14.31	simple	Verbe
ley psicológico	2	14.31	ley psicológica	Nom Adjectif
índole externo	2	14.31	índole externa	Nom Adjectif
vencimiento mensual	2	14.31	vencimiento mensual	Nom Nom
ocupación compatible	2	14.31	ocupación compatible	Nom Adjectif
cobro de cupón	2	14.31	cobro de cupones	Nom Préposition Nom
tipo de interés igual	2	14.31	tipo de interés igual	Nom Préposition Nom Adjectif
longfield	2	14.31	longfield	Nom
circulación activo	2	14.31	circulación activa	Nom Adjectif
obstáculo externo	2	14.31	obstáculos externos	Nom Adjectif
función instantáneo	2	14.31	funciones instantáneas	Nom Adjectif
efecto público	2	14.31	efectos públicos	Nom Adjectif
exógenamente	2	14.31	exógenamente	Adjectif
inelasticidad	2	14.31	inelasticidad	Nom
plazo de vida residual	2	14.31	plazo de vida residual	Nom Préposition Nom Adjectif
factor de producción susceptible	2	14.31	factor de producción susceptible___factores de producción susceptibles	Nom Préposition Nom Adjectif
traducción literal	2	14.31	traducción literal	Nom Adjectif
mercado de inversión moderno	2	14.31	mercados de inversión modernos	Nom Préposition Nom Adjectif
efecto desbordamiento	2	14.31	efecto desbordamiento___efectos desbordamiento	Nom Nom
literatura del crecimiento	2	14.31	literatura del crecimiento	Nom Préposition Nom
plantación estatal	2	14.31	plantaciones estatales	Nom Adjectif
valor del capital	2	14.31	valor del capital	Nom Préposition Nom
unidad individual	2	14.31	unidad individual	Nom Adjectif
unemployment del profesor	2	14.31	unemployment del profesor	Nom Préposition Nom
cass	2	14.31	cass	Nom
crédito interno	2	14.31	crédito interno	Nom Adjectif
gradualismo	2	14.31	gradualismo	Nom
importe del producto	2	14.31	importe del producto	Nom Préposition Nom
previsión matemático	2	14.31	previsión matemática	Nom Adjectif
proporción del pib	2	14.31	proporción del pib	Nom Préposition Nom
fs	2	14.31	fs	Nom
pontificia	2	14.31	pontificia	Verbe
movimiento ascendente	2	14.31	movimiento ascendente	Nom Adjectif
importe del cupón	2	14.31	importe del cupón	Nom Préposition Nom
propensión global	2	14.31	propensión global	Nom Adjectif
ts	2	14.31	ts	Nom
bolsa español	2	14.31	bolsas españolas	Nom Adjectif
dax	2	14.31	dax	Nom
món	2	14.31	món	Nom
omne	2	14.31	omne	Nom
concavidad	2	14.31	concavidad	Nom
diferencia del modelo	2	14.31	diferencia del modelo	Nom Préposition Nom
punto del tiempo	2	14.31	puntos del tiempo	Nom Préposition Nom
gasto tabla	2	14.31	gasto tabla___gastos tabla	Nom Nom
ricardianos	2	14.31	ricardianos	Nom
institucionalismo	2	14.31	institucionalismo	Nom
ganancia del empresario	2	14.31	ganancias del empresario	Nom Préposition Nom
variable en término	2	14.31	variables en términos	Nom Préposition Nom
inversión mobiliaria	2	14.31	inversión mobiliaria	Nom Nom
contado	2	14.31	contado	Nom
hora de trabajo especial	2	14.31	hora de trabajo especial	Nom Préposition Nom Adjectif
estado de desocupación	2	14.31	estado de desocupación	Nom Préposition Nom
economía de planificador central	2	14.31	economía de planificador central	Nom Préposition Nom Adjectif
negociación total	2	14.31	negociación total	Nom Adjectif
individuo optimizadores	2	14.31	individuos optimizadores	Nom Adjectif
industria concreto	2	14.31	industrias concretas	Nom Adjectif
margen constante	2	14.31	margen constante	Nom Adjectif
supuesto general	2	14.31	supuesto general	Nom Adjectif
valor óptimo	2	14.31	valor óptimo	Nom Adjectif
artículo durable	2	14.31	artículos durables	Nom Adjectif
unidad de trabajo disponible	2	14.31	unidades de trabajo disponibles	Nom Préposition Nom Adjectif
nuestra ignorancia	2	14.31	nuestra ignorancia	Nom Nom
rendimiento neto	2	14.31	rendimiento neto	Nom Adjectif
maximiza	2	14.31	maximiza	Verbe
opinión promedio	2	14.31	opinión promedio	Nom Nom
año bursátil	2	14.31	año bursátil	Nom Adjectif
trayectoria bajista	2	14.31	trayectoria bajista	Nom Adjectif
valor de escasez	2	14.31	valor de escasez	Nom Préposition Nom
institución de inversión	2	14.31	instituciones de inversión	Nom Préposition Nom
existencia de capital	2	14.31	existencia de capital	Nom Préposition Nom
función del ingreso	2	14.31	función del ingreso	Nom Préposition Nom
historia del análisis económico	2	14.31	historia del análisis económico	Nom Préposition Nom Adjectif
hôpital	2	14.31	hôpital	Nom
función de acumulación	2	14.31	función de acumulación	Nom Préposition Nom
l+d	2	14.31	l+d	Nom
momento del horizonte temporal	2	14.31	momento del horizonte temporal	Nom Préposition Nom Adjectif
vab	2	14.31	vab	Nom
título entregable	2	14.31	título entregable	Nom Adjectif
junkertum	2	14.31	junkertum	Nom
definición de ingreso	2	14.31	definición de ingreso	Nom Préposition Nom
valor entregable	2	14.31	valor entregable	Nom Adjectif
tasa positivo	2	14.31	tasas positivas	Nom Adjectif
nombre de función	2	14.31	nombre de función	Nom Préposition Nom
mes del año precedente	2	14.31	mes del año precedente	Nom Préposition Nom Adjectif
complemento estadístico	2	14.31	complemento estadístico	Nom Adjectif
día de febrero	2	14.31	días de febrero	Nom Préposition Nom
hipótesis convergente	2	14.31	hipótesis convergente	Nom Adjectif
tasa de rendimiento privado	2	14.31	tasa de rendimiento privado___tasa de rendimiento privada	Nom Préposition Nom Adjectif
número de día existente	2	14.31	número de días existentes	Nom Préposition Nom Adjectif
ala radical	2	14.31	ala radical	Nom Adjectif
sfs	2	14.31	sfs	Nom
desutilidad del trabajo	2	14.31	desutilidad del trabajo	Nom Préposition Nom
tipo director	2	14.31	tipos directores	Nom Adjectif
sección posterior	2	14.31	sección posterior	Nom Adjectif
pib mundial	2	14.31	pib mundial	Nom Adjectif
movimiento cíclico	2	14.31	movimiento cíclico	Nom Adjectif
velocidad-ingreso del dinero	2	14.31	velocidad-ingreso del dinero	Nom Préposition Nom
factor de complicación	2	14.31	factores de complicación	Nom Préposition Nom
optimización intertemporal	2	14.31	optimización intertemporal	Nom Adjectif
partida del equipo	2	14.31	partidas del equipo	Nom Préposition Nom
razonamiento ordinario	2	14.31	razonamiento ordinario	Nom Adjectif
elemento del costo	2	14.31	elementos del costo	Nom Préposition Nom
acto de ahorro individual	2	14.31	acto de ahorro individual	Nom Préposition Nom Adjectif
haavelmo	2	14.31	haavelmo	Nom
juicio práctico	2	14.31	juicio práctico	Nom Adjectif
financiero del estado	2	14.31	financieros del estado	Nom Préposition Nom
tasa constante igual	2	14.31	tasa constante igual	Nom Adjectif Adjectif
máquina existente	2	14.31	máquinas existentes	Nom Adjectif
mes previo	2	14.31	meses previos	Nom Adjectif
integración rápido y lento	2	14.31	integración rápida y lenta	Nom Adjectif Coord_Conjunction Adjectif
fenómeno del ciclo económico	2	14.31	fenómenos del ciclo económico	Nom Préposition Nom Adjectif
aumento inesperado	2	14.31	aumento inesperado	Nom Adjectif
tasa de crecimiento competitivo	2	14.31	tasa de crecimiento competitivo___tasa de crecimiento competitiva	Nom Préposition Nom Adjectif
hamiltoniano	2	14.31	hamiltoniano	Nom
reescribirse	2	14.31	reescribirse	Verbe
describiremos	2	14.31	describiremos	Verbe
integración lento	2	14.31	integración lenta	Nom Adjectif
producción bien	2	14.31	producción bienes	Nom Nom
tecnología cobb-douglas	2	14.31	tecnología cobb-douglas	Nom Nom
operación unilateral	2	14.31	operación unilateral	Nom Adjectif
comunicación del autor	2	14.31	comunicación del autor	Nom Préposition Nom
teoría estático	2	14.31	teoría estática	Nom Adjectif
producción de capital físico	2	14.31	producción de capital físico	Nom Préposition Nom Adjectif
desviación standard	2	14.31	desviación estándar	Nom Adjectif
inversión en capital físico	2	14.31	inversión en capital físico	Nom Préposition Nom Adjectif
depreciación del capital físico	2	14.31	depreciación del capital físico	Nom Préposition Nom Adjectif
depositante	2	14.31	depositante	Nom
desviación presupuestarias	2	14.31	desviaciones presupuestarias	Nom Nom
geografía chino	2	14.31	geografía china	Nom Adjectif
subconscientes	2	14.31	subconscientes	Nom
aumento de ocupación	2	14.31	aumento de ocupación	Nom Préposition Nom
clase de gasto	2	14.31	clases de gasto___clases de gastos	Nom Préposition Nom
participación del capital relevante	2	14.31	participación del capital relevante	Nom Préposition Nom Adjectif
vida residual igual	2	14.31	vida residual igual	Nom Adjectif Adjectif
curva de tipo	2	14.31	curva de tipos	Nom Préposition Nom
teoría del interés	2	14.31	teoría del interés	Nom Préposition Nom
supuesto adicional	2	14.31	supuesto adicional	Nom Adjectif
coeficiente de inversión nuevo	2	14.31	coeficiente de inversión nueva	Nom Préposition Nom Adjectif
frenase	2	14.31	frenase	Verbe
uso de concepto	2	14.31	uso de conceptos	Nom Préposition Nom
factoring	2	14.31	factoring	Nom
tensionamiento	2	14.31	tensionamiento	Nom
competition	2	14.31	competition	Verbe
central de anotación	2	14.31	central de anotaciones	Nom Préposition Nom
acumulación de capital humano	2	14.31	acumulación de capital humano	Nom Préposition Nom Adjectif
volumen agregado	2	14.31	volumen agregado	Nom Nom
maximizará	2	14.31	maximizará	Verbe
poder feudales	2	14.31	poderes feudales	Nom Adjectif
fenómeno de aprendizaje	2	14.31	fenómenos de aprendizaje	Nom Préposition Nom
acumulación del capital físico	2	14.31	acumulación del capital físico	Nom Préposition Nom Adjectif
ocupación pleno continuo	2	14.31	ocupación plena continua	Nom Adjectif Adjectif
aumento de inversión	2	14.31	aumento de inversión	Nom Préposition Nom
quintal diario	2	14.31	quintal diario	Nom Adjectif
literatura de crecimiento endógeno	2	14.31	literatura de crecimiento endógeno	Nom Préposition Nom Adjectif
american	2	14.31	american	Adjectif
extensión interesante	2	14.31	extensión interesante	Nom Adjectif
consumo corriente	2	14.31	consumo corriente	Nom Nom
nuestros cálculo	2	14.31	nuestros cálculos	Nom Nom
conducta real	2	14.31	conducta real	Nom Adjectif
variable de estado	2	14.31	variable de estado___variables de estado	Nom Préposition Nom
índice de precio industrial	2	14.31	índice de precios industriales	Nom Préposition Nom Adjectif
fracción de tiempo	2	14.31	fracción de tiempo	Nom Préposition Nom
tabla ingresos	2	14.31	tabla ingresos	Nom Adjectif
quienes	2	14.31	quienes	Adjectif
usé	2	14.31	usé	Verbe
coeficiente constante	2	14.31	coeficientes constantes	Nom Nom
estado de expectativa	2	14.31	estado de expectativa	Nom Préposition Nom
aspecto rentista	2	14.31	aspecto rentista	Nom Adjectif
volumen de ocupación existente	2	14.31	volumen de ocupación existente	Nom Préposition Nom Adjectif
stocks de capital inicial	2	14.31	stocks de capital iniciales	Nom Préposition Nom Adjectif
técnica del análisis económico	2	14.31	técnicas del análisis económico	Nom Préposition Nom Adjectif
tabla estado	2	14.31	tabla estados	Nom Nom
planificador maximiza	2	14.31	planificador maximiza	Nom Nom
monástica	2	14.31	monástica	Adjectif
nuestras decisión	2	14.31	nuestras decisiones	Nom Nom
administración del estado	2	14.31	administración del estado	Nom Préposition Nom
crecimiento del capital humano	2	14.31	crecimiento del capital humano	Nom Préposition Nom Adjectif
consumo tabla	2	14.31	consumo tabla	Nom Nom
variable de control	2	14.31	variables de control	Nom Préposition Nom
relación negativo	2	14.31	relación negativa	Nom Adjectif
dirección ascendente	2	14.31	dirección ascendente	Nom Adjectif
principales monedas	2	14.31	principales monedas	Nom Adjectif
bolsas	2	14.31	bolsas	Adjectif
agregado de capital	2	14.31	agregado de capital	Nom Préposition Nom
fábrica de prenda	2	14.31	fábrica de prendas	Nom Préposition Nom
rebelo	2	14.31	rebelo	Nom
inversión completo	2	14.31	inversión completa	Nom Adjectif
autoridad del papa	2	14.31	autoridad del papa	Nom Préposition Nom
dirección particular	2	14.31	dirección particular___direcciones particulares	Nom Adjectif
solución del ciclo económico	2	14.31	solución del ciclo económico	Nom Préposition Nom Adjectif
productividad del sector educativo	2	14.31	productividad del sector educativo	Nom Préposition Nom Adjectif
tasa de paro juvenil	2	14.31	tasa de paro juvenil	Nom Préposition Nom Adjectif
ocupación global	2	14.31	ocupación global	Nom Adjectif
modelo de uzawa-lucas	2	14.31	modelo de uzawa-lucas	Nom Préposition Nom
salario en término monetario	2	14.31	salarios en términos monetarios	Nom Préposition Nom Adjectif
potenciador	2	14.31	potenciador	Nom
stock de capital humano	2	14.31	stock de capital humano	Nom Préposition Nom Adjectif
alcista	2	14.31	alcista	Nom
agregativa	2	14.31	agregativa	Adjectif
externalidad del stock medio	2	14.31	externalidad del stock medio	Nom Préposition Nom Adjectif
divisa norteamericano	2	14.31	divisa norteamericana	Nom Adjectif
curva de depreciación	2	14.31	curva de depreciación	Nom Préposition Nom
mercado competitivo	7	14.28	mercado competitivo___mercados competitivos	Nom Adjectif
marxista	6	14.28	marxista	Adjectif
invariable	7	14.28	invariable___invariables	Adjectif
excedente	24	14.26	excedente___excedentes	Nom
inflación	39	14.25	inflación	Nom
estático	9	14.21	estático___estática	Adjectif
renta variable	4	14.09	renta variable	Nom Adjectif
nótese	4	14.09	nótese	Verbe
librecambio	11	14.08	librecambio	Nom
teóricamente	11	14.08	teóricamente	Adverbe
extranjero	46	13.93	extranjero___extranjera___extranjeras	Adjectif
diferencia	99	13.9	diferencia___diferencias	Nom
aritmético	8	13.89	aritmética	Adjectif
cambiario	7	13.87	cambiario___cambiarios___cambiarias	Adjectif
restricción	45	13.71	restricción___restricciones	Nom
mismo	383	13.7	mismo___mismos___mismas	Adjectif
demanda nacional	3	13.69	demanda nacional	Nom Adjectif
tipo medio	3	13.69	tipo medio	Nom Adjectif
análisis cuantitativo	3	13.69	análisis cuantitativo	Nom Adjectif
principles	3	13.69	principles	Nom
mercado de referencia	3	13.69	mercado de referencia	Nom Préposition Nom
migración internacional	3	13.69	migración internacional___migraciones internacionales	Nom Adjectif
especificación técnico	11	13.53	especificaciones técnicas	Nom Adjectif
ciencia	36	13.52	ciencia___ciencias	Nom
periodo	45	13.49	periodo___periodos	Nom
reserva federal	6	13.48	reserva federal	Nom Adjectif
volumen de producción	6	13.48	volumen de producción	Nom Préposition Nom
bien de equipo	4	13.47	bienes de equipo	Nom Préposition Nom
producto básico	8	13.33	productos básicos	Nom Adjectif
condición	203	13.24	condición___condiciones	Nom
cuantitativa	12	13.21	cuantitativa	Adjectif
instantáneo	7	13.15	instantánea___instantáneas	Adjectif
repunte	6	13.01	repunte___repuntes	Nom
hombre	89	13	hombre___hombres	Nom
mes	143	12.9	mes___meses	Nom
período	114	12.88	período___períodos	Nom
acumulación	16	12.87	acumulación	Nom
existencia	61	12.86	existencia___existencias	Nom
individual	53	12.84	individual___individuales	Adjectif
cíclico	6	12.79	cíclico___cíclica	Adjectif
fecha	74	12.77	fecha___fechas	Nom
convergencia	49	12.7	convergencia	Nom
producción de bien	5	12.69	producción de bienes	Nom Préposition Nom
demanda de mano	3	12.64	demanda de mano	Nom Préposition Nom
coincidentes	3	12.64	coincidentes	Nom
descendentes	3	12.64	descendentes	Adjectif
importación de bien	3	12.64	importación de bienes___importaciones de bienes	Nom Préposition Nom
antropología	3	12.64	antropología	Nom
región en desarrollo	3	12.64	regiones en desarrollo	Nom Préposition Nom
transferencia de ingreso	3	12.64	transferencia de ingresos___transferencias de ingresos	Nom Préposition Nom
depósito bancario	3	12.64	depósitos bancarios	Nom Adjectif
crecimiento del consumo	3	12.64	crecimiento del consumo	Nom Préposition Nom
dracma	3	12.64	dracma	Nom
comportamiento del consumidor	3	12.64	comportamiento del consumidor	Nom Préposition Nom
riqueza	34	12.61	riqueza	Nom
maximizar	8	12.59	maximizar	Verbe
bancario	31	12.54	bancario___bancarios	Adjectif
productor	23	12.52	productor___productora___productores	Adjectif
escribir	29	12.47	escribir___escribió___escriben___escribieron	Verbe
sujeto	16	12.45	sujeto	Nom
lira italiano	4	12.43	lira italiana	Nom Adjectif
papa	4	12.43	papa	Nom
depresivo	4	12.43	depresivo___depresiva	Adjectif
analítico	10	12.38	analítico___analítica	Adjectif
precio de mercado	8	12.36	precio de mercado	Nom Préposition Nom
capital privado	10	12.31	capital privado	Nom Adjectif
mundo real	8	12.25	mundo real	Nom Adjectif
santo	10	12.24	santo___santos	Adjectif
sistema económico	13	12.23	sistema económico	Nom Adjectif
parte contratantes	11	12.22	partes contratantes	Nom Adjectif
rebaja	12	12.19	rebaja___rebajas	Nom
ideología	22	12.14	ideología___ideologías	Nom
factor productivo	5	12.12	factores productivos	Nom Adjectif
implícito	13	12.11	implícito___implícita	Adjectif
predecir	10	12.1	predecir___predice	Verbe
hombre de negocio	7	12.1	hombre de negocios___hombres de negocios	Nom Préposition Nom
marco alemán	6	12.01	marco alemán	Nom Nom
homogéneo	16	12.01	homogéneo___homogéneos	Adjectif
privado	73	12.01	privado___privados___privadas	Adjectif
forma alternativo	6	12.01	forma alternativa___formas alternativas	Nom Adjectif
encima	43	12	encima	Adverbe
inversión en capital	4	11.99	inversión en capital	Nom Préposition Nom
país exportador	7	11.97	países exportadores	Nom Adjectif
relacionar	16	11.93	relacionar___relacionan___relacione	Verbe
modo	199	11.87	modo___modos	Nom
ignorante	5	11.86	ignorante___ignorantes	Adjectif
ciencia social	3	11.8	ciencia social___ciencias sociales	Nom Adjectif
sector exterior	3	11.8	sector exterior	Nom Adjectif
balanza por cuenta corriente	3	11.8	balanza por cuenta corriente	Nom Préposition Nom Adjectif
ley económico	3	11.8	leyes económicas	Nom Adjectif
endeudamiento neto	3	11.8	endeudamiento neto	Nom Adjectif
control central	3	11.8	controles centrales	Nom Adjectif
decisión de inversión	3	11.8	decisiones de inversión	Nom Préposition Nom
barrar|barrer	3	11.8	barro	Verbe
lord	3	11.8	lord	Nom
productividad del sector	3	11.8	productividad del sector	Nom Préposition Nom
economía monetario	3	11.8	economía monetaria	Nom Adjectif
pensamiento	25	11.79	pensamiento___pensamientos	Nom
punto básico	7	11.72	punto básico	Nom Adjectif
ritmo de crecimiento	6	11.67	ritmo de crecimiento	Nom Préposition Nom
socialismo	8	11.66	socialismo	Nom
fin particular	2	11.64	fin particular___fines particulares	Nom Adjectif
ex	2	11.64	ex	Nom
inestabilidad macroeconómica	2	11.64	inestabilidad macroeconómica	Nom Adjectif
cambio central	2	11.64	cambio central___cambios centrales	Nom Nom
renta vitalicio	2	11.64	renta vitalicia	Nom Adjectif
telefónica	2	11.64	telefónica	Nom
función único	2	11.64	función única	Nom Adjectif
cambio violento	2	11.64	cambio violento___cambios violentos	Nom Adjectif
entorno exterior	2	11.64	entorno exterior	Nom Adjectif
hombre práctico	2	11.64	hombres prácticos	Nom Adjectif
resto de mercado	2	11.64	resto de mercados	Nom Préposition Nom
op	2	11.64	op	Nom
aportación original	2	11.64	aportaciones originales	Nom Adjectif
cambio medio	2	11.64	cambio medio	Nom Adjectif
supuesto especial	2	11.64	supuesto especial	Nom Adjectif
kilo por hectárea	2	11.64	kilos por hectárea	Nom Préposition Nom
día final	2	11.64	días finales	Nom Adjectif
juicio propio	2	11.64	juicio propio	Nom Adjectif
plazo superior	2	11.64	plazos superiores	Nom Adjectif
crédito comercial	2	11.64	crédito comercial	Nom Adjectif
incorporado	2	11.64	incorporado	Adjectif
modelización	2	11.64	modelización	Nom
cantidad relativo	2	11.64	cantidades relativas	Nom Adjectif
internaliza	2	11.64	internaliza	Verbe
justificación social	2	11.64	justificación social___justificaciones sociales	Nom Adjectif
máquina nuevo	2	11.64	máquina nueva___máquinas nuevas	Nom Adjectif
teoría tradicional	2	11.64	teoría tradicional	Nom Adjectif
operación de compraventa	2	11.64	operaciones de compraventa	Nom Préposition Nom
general del estado	2	11.64	generales del estado	Nom Préposition Nom
fogosidad	2	11.64	fogosidad	Nom
tribu primitivo	2	11.64	tribus primitivas	Nom Adjectif
tipo marginal	2	11.64	tipo marginal	Nom Adjectif
