Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
aumentar	174	25.78	aumentar___aumentara___aumentaran___aumentarían	Verbe
población activo	26	25.7	población activa	Nom Adjectif
anterior	164	25.48	anterior___anteriores	Adjectif
remuneración	42	25.37	remuneración___remuneraciones	Nom
amortización	16	25.33	amortización	Nom
involuntario	15	25.31	involuntario___involuntarios	Adjectif
alcista	7	25.24	alcista	Adjectif
política de salario	7	25.24	política de salarios	Nom Préposition Nom
liberalismo económico	10	24.94	liberalismo económico	Nom Adjectif
fecha de vencimiento	9	24.87	fecha de vencimiento	Nom Préposition Nom
situación científico	5	24.78	situación científica	Nom Adjectif
secretaría de estado	5	24.78	secretaría de estado	Nom Préposition Nom
proporción exacto	5	24.78	proporción exacta	Nom Adjectif
fim	5	24.78	fim	Nom
párrafo anterior	5	24.78	párrafo anterior	Nom Adjectif
sahara	5	24.78	sahara	Nom
decenal	5	24.78	decenal	Nom
equipo de producción	5	24.78	equipo de producción	Nom Préposition Nom
capital físico y humano	5	24.78	capital físico y humano	Nom Adjectif Coord_Conjunction Adjectif
repuntar	5	24.78	repuntar___repuntaron	Verbe
cifra provisional	6	24.69	cifras provisionales	Nom Adjectif
economía español	6	24.69	economía española	Nom Nom
esquema	33	24.63	esquema___esquemas	Nom
supuesto	37	24.59	supuesto___supuestos	Adjectif
inferior	63	24.24	inferior___inferiores	Adjectif
término monetario	7	24.23	términos monetarios	Nom Adjectif
correspondiente	119	24.04	correspondiente___correspondientes	Adjectif
ascendente	13	24	ascendente	Adjectif
ganancia	32	23.83	ganancia___ganancias	Nom
probable	55	23.8	probable___probables	Adjectif
momento del ejercicio	4	23.63	momento del ejercicio	Nom Préposition Nom
obligación alemán	4	23.63	obligaciones alemanas	Nom Adjectif
teoría puro	4	23.63	teoría pura	Nom Adjectif
posición comprador	4	23.63	posición compradora	Nom Nom
crecimiento exógeno	4	23.63	crecimiento exógeno	Nom Adjectif
nuestras	4	23.63	nuestras	Verbe
serie introducción	4	23.63	series introducción	Nom Nom
nueva serie	4	23.63	nuevas series	Nom Nom
stock medio	4	23.63	stock medio	Nom Adjectif
variación pequeño	4	23.63	variación mínima	Nom Adjectif
fluctuación correspondiente	4	23.63	fluctuación correspondiente___fluctuaciones correspondientes	Nom Adjectif
punto en peseta	4	23.63	punto en pesetas	Nom Préposition Nom
tasa de variación	4	23.63	tasa de variación	Nom Préposition Nom
trayectoria de consumo	4	23.63	trayectoria de consumo___trayectorias de consumo	Nom Préposition Nom
nuestro conocimiento	4	23.63	nuestro conocimiento	Nom Nom
clase de opción	4	23.63	clase de opciones___clases de opciones	Nom Préposition Nom
día del ejercicio	4	23.63	día del ejercicio	Nom Préposition Nom
desbordamiento del conocimiento	4	23.63	desbordamiento del conocimiento	Nom Préposition Nom
economista del período	4	23.63	economistas del período	Nom Préposition Nom
cotización del subyacente	4	23.63	cotización del subyacente	Nom Préposition Nom
serie negociadas	4	23.63	series negociadas	Nom Adjectif
socialista de cátedra	4	23.63	socialistas de cátedra	Nom Préposition Nom
clase negociadas	4	23.63	clases negociadas	Nom Adjectif
vol	4	23.63	vol	Nom
intervalo de precio	4	23.63	intervalo de precio	Nom Préposition Nom
costo de reposición	4	23.63	costo de reposición	Nom Préposition Nom
precio de ejercicio pequeño	4	23.63	precios de ejercicio menores	Nom Préposition Nom Adjectif
precio de ejercicio grande	4	23.63	precios de ejercicio mayores	Nom Préposition Nom Adjectif
subyacente del día anterior	4	23.63	subyacente del día anterior	Nom Préposition Nom Adjectif
political	4	23.63	political	Nom
historia del análisis	4	23.63	historia del análisis	Nom Préposition Nom
serie de opción adicional	4	23.63	series de opciones adicionales	Nom Préposition Nom Adjectif
entregable	4	23.63	entregable	Adjectif
sector de bien final	4	23.63	sector de bienes finales	Nom Préposition Nom Adjectif
razón intuitiva	4	23.63	razón intuitiva	Nom Adjectif
volumen de demanda	4	23.63	volumen de demanda	Nom Préposition Nom
imperfect	4	23.63	imperfect	Nom
